Word	[ (Document1, Count1), ... ]
farewell	(10, 2) 
fast-flowing	(9, 1) 
feat	(3, 1) 
feature	(5, 1) 
featured	(5, 1) 
february	(3, 1) (1, 1) (8, 1) 
federation	(1, 1) 
fee	(7, 2) 
festival	(3, 2) 
few	(1, 1) 
field	(7, 1) 
fifa	(7, 2) (1, 1) (8, 4) 
fifacom	(7, 1) 
fifth	(8, 1) 
fifty	(3, 1) 
figure	(9, 1) 
figures	(5, 1) 
filmmakers	(5, 1) 
films	(5, 3) 
final	(8, 1) (4, 1) (7, 2) (1, 1) (10, 2) (2, 1) 
finale	(10, 1) 
finals	(8, 1) (1, 1) 
financial	(9, 1) 
finish	(8, 1) 
finished	(8, 1) 
finishing	(8, 1) 
first	(8, 6) (1, 5) (10, 1) (3, 3) (7, 2) (4, 1) (2, 1) (6, 1) 
five	(7, 1) (1, 2) (8, 1) 
folk-inspired	(3, 1) 
followed	(8, 1) (7, 1) 
following	(8, 1) (1, 1) 
follows	(5, 2) 
football	(1, 2) (8, 2) (6, 2) (7, 3) (10, 1) (2, 1) (4, 1) 
footballer	(4, 1) (1, 2) (8, 4) (2, 1) 
footballncolo-colo	(6, 1) 
for	(2, 6) (7, 8) (5, 1) (3, 2) (1, 8) (4, 6) (8, 15) (10, 1) 
forbes	(1, 1) (8, 1) 
forestal	(9, 1) 
form	(8, 1) 
formed	(3, 1) 
former	(6, 1) 
forward	(8, 1) (2, 1) (1, 1) (4, 1) 
foul	(7, 1) 
founded	(6, 1) 
four	(7, 1) (8, 3) (3, 1) (1, 2) 
france	(8, 1) 
franchise	(5, 2) 
franchises	(5, 1) 
francisco	(10, 1) 
free	(7, 1) 
frenetic	(10, 1) 
friends	(5, 1) 
from	(5, 5) (10, 2) (7, 2) (6, 1) (8, 1) (1, 1) (3, 4) (9, 1) 
ft	(9, 1) 
fujairah	(7, 1) 
fusiu00f3n	(3, 1) 
futbolero	(10, 1) 
games	(9, 1) (5, 2) (6, 1) 
gamesncolo-colo	(6, 1) 
gathered	(5, 1) 
gave	(7, 1) 
general	(7, 1) 
germany	(7, 1) 
giant	(10, 2) 
gigante	(10, 5) 
gigantic	(10, 2) 
gimnasia	(7, 1) 
girl	(5, 1) 
given	(7, 1) 
global	(5, 1) 
go	(3, 1) (1, 1) 
goal	(1, 1) (7, 4) 
goalkeeper	(6, 1) 
goals	(6, 1) (7, 2) (8, 6) (1, 5) 
goalscorer	(1, 3) (4, 1) (8, 2) (2, 1) 
god	(7, 1) 
goku	(5, 2) 
gold	(8, 1) 
golden	(8, 7) (7, 2) (2, 1) (1, 2) (4, 1) 
gonzalo	(3, 1) 
gonzu00e1lez	(3, 3) 
gravity	(7, 1) 
great	(7, 1) 
greatest	(7, 1) (2, 1) (8, 1) (4, 1) (1, 1) (5, 1) 
groups	(3, 1) 
gt	(5, 1) 
guitarist	(3, 1) 
had	(3, 1) (5, 1) (7, 2) (8, 1) 
hand	(7, 1) 
handling	(7, 1) 
has	(5, 4) (3, 2) (2, 1) (10, 1) (6, 2) (9, 2) (8, 4) (1, 5) (4, 1) 
hasta	(10, 1) 
hat-tricks	(8, 1) 
have	(5, 3) (6, 1) (1, 1) 
having	(3, 1) 
he	(1, 16) (5, 3) (7, 15) (4, 8) (8, 17) (2, 8) 
headquarters	(9, 1) 
held	(10, 1) 
helped	(8, 1) (1, 1) 
henru00edquez	(3, 1) 
hepburn	(5, 1) 
her	(5, 1) 
heritage	(5, 1) 
hiatusin	(3, 1) 
high	(3, 2) 
highest-grossing	(5, 1) 
highest-paid	(1, 1) (8, 2) 
highly	(5, 1) 
hills	(9, 1) 
him	(8, 2) (1, 2) (7, 3) (5, 1) 
himself	(8, 2) 
his	(8, 13) (5, 4) (1, 8) (4, 3) (7, 10) (2, 3) 
historia	(3, 1) 
historic	(8, 1) (6, 1) 
history	(10, 2) (7, 2) 
historynn	(6, 1) 
hits	(3, 1) 
holds	(6, 2) (1, 1) (8, 3) 
home	(6, 1) (9, 1) 
homemade	(3, 1) 
hong	(5, 1) 
host	(9, 1) 
hosted	(10, 2) 
hour	(9, 1) 
human-interest	(10, 1) 
humor	(5, 1) 
iffhs	(6, 1) 
illustrated	(5, 1) 
impact	(5, 1) (3, 1) 
important	(3, 2) 
in	(3, 24) (5, 13) (10, 8) (7, 21) (8, 29) (6, 9) (2, 11) (9, 7) (1, 23) (4, 11) 
inaugural	(1, 1) 
inception	(10, 1) 
included	(1, 1) (3, 1) 
includes	(5, 1) 
including	(1, 2) (8, 1) (7, 1) (4, 1) (2, 1) 
individual	(5, 1) 
influences	(3, 1) 
influential	(3, 1) (5, 2) (8, 1) (1, 1) 
initial	(1, 1) (5, 1) 
inspiration	(5, 1) 
inspired	(5, 1) 
inspiring	(5, 1) 
institution	(6, 1) 
integral	(8, 1) 
inter	(2, 1) (4, 1) 
interamericanathe	(6, 1) 
internacional	(10, 1) 
international	(10, 1) (6, 1) (4, 1) (1, 5) (8, 3) (2, 1) (7, 1) 
into	(4, 1) (5, 2) (2, 1) 
is	(2, 2) (4, 2) (1, 4) (6, 6) (7, 1) (3, 3) (5, 4) (8, 2) (9, 10) 
it	(9, 1) (10, 4) (6, 1) (5, 3) 
italia	(1, 1) 
italian	(1, 1) 
italiana	(1, 1) 
italiansu00e1nchez	(4, 1) (2, 1) 
its	(5, 2) (10, 4) (6, 2) 
james	(9, 1) 
japan	(5, 3) 
japanese	(5, 3) 
jara	(3, 1) 
javier	(10, 1) 
join	(5, 1) (8, 1) 
joined	(4, 1) (2, 1) 
joint	(7, 1) 
jorge	(3, 2) 
journey	(5, 2) 
judiciary	(9, 1) 
julio	(3, 1) 
july	(1, 1) (7, 1) 
jump	(5, 1) 
june	(7, 1) (8, 1) 
juniors	(7, 2) 
juventus	(1, 1) 
kai	(5, 1) 
keyboard	(3, 1) 
kick	(7, 1) 
known	(7, 2) (5, 1) (4, 1) (2, 1) (3, 2) (9, 1) (10, 1) 
kong	(5, 1) 
kreutzberger	(10, 2) 
la	(4, 1) (1, 1) (7, 1) (8, 8) (2, 1) (3, 3) 
label	(3, 1) 
lack	(9, 1) 
large	(5, 1) 
largest	(9, 2) 
las	(3, 1) 
last	(3, 1) 
later	(3, 1) (4, 1) (10, 2) (1, 1) (2, 1) (8, 1) 
latin	(3, 5) 
latter	(8, 1) 
lauded	(4, 1) (2, 1) 
laureus	(8, 1) 
leadership	(7, 1) 
leading	(8, 2) (5, 1) 
league	(8, 2) (2, 2) (4, 2) (1, 6) 
leagues	(1, 2) (8, 1) (10, 1) 
leaving	(8, 1) (7, 2) (3, 3) 
led	(7, 1) (1, 2) (8, 2) (4, 1) (2, 1) 
left	(3, 1) 
left-footed	(8, 1) 
leon	(3, 1) 
leu00f3n	(3, 1) 
level	(1, 1) (8, 1) 
levelnfounded	(9, 1) 
libertadores	(6, 1) 
lies	(9, 1) 
life	(7, 1) 
liga	(2, 1) (10, 1) (8, 8) (1, 1) (4, 1) 
ligue	(4, 1) (2, 1) (8, 1) 
limited	(3, 1) 
lined	(9, 1) 
lionel	(8, 1) (1, 1) 
list	(1, 1) 
listen	(8, 1) 
live	(9, 1) (10, 2) 
live-action	(5, 1) 
loan	(4, 1) (2, 1) 
located	(9, 1) 
long-standing	(6, 1) 
longer	(3, 1) 
longest-running	(10, 2) 
los	(3, 11) 
low	(7, 1) 
lp	(3, 1) 
luis	(6, 1) 
m	(9, 1) (7, 1) 
macul	(6, 1) 
made	(3, 2) (8, 1) (5, 1) (2, 1) (1, 2) (4, 1) 
madrid	(1, 1) 
mainstream	(3, 2) 
major	(1, 2) (4, 2) (2, 2) 
make	(3, 1) 
makes	(5, 1) 
making	(5, 1) (8, 1) (1, 1) 
male	(8, 1) 
man	(5, 1) 
manager	(7, 1) 
manchester	(2, 1) (1, 3) (4, 1) 
manga	(5, 7) 
mangas	(5, 2) 
manoeuvre	(7, 1) 
many	(5, 2) (9, 1) (3, 1) 
manzana	(3, 1) 
mapocho	(9, 1) 
maradona	(8, 1) (7, 7) 
maradonas	(7, 1) 
maravilla	(4, 1) (2, 1) 
march	(3, 1) 
mario	(10, 1) 
marked	(3, 1) 
marketable	(1, 1) 
marseille	(4, 1) (2, 1) 
martial	(5, 2) 
martu00ednez	(3, 1) 
matches	(10, 1) (6, 1) 
material	(5, 1) 
mau027eau02c8u00f0ona]	(7, 1) 
may	(7, 1) 
mean	(9, 1) 
medal	(8, 1) 
media	(3, 2) (5, 3) 
meets	(5, 1) (9, 1) 
mejores	(3, 1) 
member	(3, 1) 
members	(3, 3) 
mena	(6, 1) 
merchandising	(5, 1) 
messi	(8, 14) (1, 1) 
metropolitan	(9, 1) 
mexican	(10, 1) (7, 1) 
mexico	(7, 1) (10, 1) (3, 2) 
miguel	(3, 3) 
milan	(2, 1) (4, 1) 
military	(3, 1) 
million	(4, 3) (7, 2) (1, 4) (5, 2) (9, 2) (2, 3) 
misael	(6, 1) 
mix	(3, 1) (10, 1) 
mononymously	(2, 1) (4, 1) 
monumental	(6, 1) 
more	(6, 1) (5, 2) (1, 1) (9, 1) 
most	(9, 3) (5, 4) (2, 2) (7, 2) (10, 1) (6, 4) (4, 2) (1, 6) (3, 2) (8, 8) 
most-capped	(1, 1) 
mostly	(9, 1) 
mountains	(9, 3) 
mouth	(3, 1) 
moved	(3, 1) (2, 1) (10, 1) (7, 1) (4, 1) 
multinational	(9, 1) 
music	(3, 5) 
musical	(3, 2) 
musically	(3, 1) 
musicians	(3, 1) (5, 1) 
mx	(10, 1) 
nacional	(3, 1) 
name	(10, 2) (7, 1) 
named	(9, 1) (6, 1) (1, 1) (5, 1) (8, 2) 
napoli	(7, 3) 
narea	(3, 3) 
national	(7, 1) (8, 2) (1, 2) (2, 1) (4, 1) 
nations	(1, 2) 
nearby	(9, 1) 
nearly	(9, 1) 
neo-gothic	(9, 1) 
neoclassical	(9, 1) 
network	(10, 2) 
never	(6, 1) 
new	(10, 1) (3, 6) (7, 1) 
newells	(7, 1) 
next	(6, 1) (8, 1) 
nickname	(7, 1) 
night	(10, 1) 
ninth	(3, 1) 
niu00f1o	(4, 1) (2, 1) 
no	(3, 2) (10, 1) 
non-chilean	(3, 1) 
notably	(10, 1) 
novel	(5, 1) 
november	(7, 3) 
now-popular	(5, 1) 
nuevas	(3, 1) 
nuevo	(3, 1) 
number	(7, 1) 
numerous	(7, 1) (5, 3) 
oceannsantiago	(9, 1) 
october	(7, 1) (8, 1) (10, 1) 
of	(10, 2) (7, 17) (9, 12) (2, 6) (3, 18) (6, 2) (1, 11) (8, 10) (4, 6) (5, 19) 
off-field	(7, 1) 
official	(1, 1) 
officially	(10, 1) 
often	(2, 1) (7, 1) (4, 1) 
old	(1, 1) (7, 1) 
olympic	(8, 1) 
olympics	(8, 1) 
on	(4, 1) (5, 2) (6, 1) (10, 8) (3, 4) (7, 2) (2, 1) (1, 2) 
one	(1, 2) (8, 1) (9, 1) (5, 5) (3, 1) (7, 2) 
only	(10, 1) (3, 1) 
operated	(7, 1) 
opposition	(7, 1) 
or	(10, 2) 
orbs	(5, 1) 
original	(10, 1) 
originally	(5, 1) 
oro	(7, 1) 
other	(7, 1) (3, 1) (9, 1) (6, 1) (5, 1) 
out	(7, 1) (3, 1) (8, 2) 
outside	(10, 1) 
outskirts	(9, 1) 
over	(10, 1) (1, 4) (7, 2) (5, 2) (8, 1) 
own	(5, 1) 
pacific	(9, 1) 
pan	(9, 1) 
paredes	(6, 1) 
paris	(8, 2) 
park	(9, 1) 
parks	(9, 1) 
parque	(9, 1) 
parra	(3, 1) 
part	(3, 1) 
particularly	(3, 1) (9, 1) (5, 1) 
passing	(7, 1) 
past	(7, 1) 
pateando	(3, 1) 
pedro	(9, 1) (10, 1) 
penalty	(4, 1) (2, 1) 
people	(3, 2) (1, 1) (8, 1) 
perceived	(8, 1) (1, 1) 
performance	(7, 1) 
performed	(3, 1) 
performing	(3, 2) 
peru	(3, 3) 
pfa	(2, 2) (4, 2) 
phase	(3, 2) 
phases	(3, 1) 
pibe	(7, 1) 
piedras	(3, 1) 
pimienta	(10, 1) 
pinochet	(3, 1) 
pioneers	(3, 1) 
place	(6, 1) 
placing	(3, 1) 
plata	(7, 1) 
plate	(4, 1) (2, 1) 
play	(8, 2) (6, 1) 
played	(6, 1) (7, 2) (1, 1) 
player	(1, 4) (7, 4) (6, 2) (8, 4) (4, 4) (2, 4) 
playernn	(2, 1) (4, 1) 
players	(7, 3) (1, 2) (8, 1) 
playing	(4, 1) (3, 1) (2, 1) 
playings	(3, 1) 
playmaker	(7, 1) (8, 1) 
plays	(8, 1) (4, 1) (2, 1) (1, 1) 
pm	(10, 2) 
point	(3, 1) 
points	(9, 1) 
policies	(3, 1) 
political	(9, 1) 
pool	(10, 1) 
pop	(3, 5) 
popular	(3, 1) (5, 2) 
popularity	(5, 1) 
populated	(9, 1) 
population	(9, 2) 
portugal	(1, 4) 
portugals	(1, 1) 
portuguese	(1, 4) 
